Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,820809,-,-,-,34.12,-118.39,0,342,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,GHI,Pressure,Wind Speed,Relative Humidity
2019,1,1,0,0,9.8,131,969,3.1,35.71
2019,1,1,1,0,7.300000000000001,0,969,2.8000000000000003,43.2
2019,1,1,2,0,6.4,0,970,3.1,45.27
2019,1,1,3,0,5.7,0,970,3.4000000000000004,46.980000000000004
2019,1,1,4,0,5.2,0,971,3.7,48.49
2019,1,1,5,0,4.9,0,971,3.9000000000000004,49.17
2019,1,1,6,0,4.7,0,971,4,49.08
2019,1,1,7,0,4.4,0,972,4.1000000000000005,49.06
2019,1,1,8,0,4.1000000000000005,0,972,4.3,49.53
2019,1,1,9,0,3.6,0,973,4.2,51.39
2019,1,1,10,0,3.2,0,973,4.2,52.61
2019,1,1,11,0,3.1,0,973,4.6000000000000005,52.02
2019,1,1,12,0,2.9000000000000004,0,974,4.5,53.07
2019,1,1,13,0,2.7,0,975,4.3,54.09
2019,1,1,14,0,2.5,0,976,4,54.86
2019,1,1,15,0,3.5,0,977,4.4,51.79
2019,1,1,16,0,6.1000000000000005,155,978,5.5,42.49
2019,1,1,17,0,8.6,336,978,6.800000000000001,32.17
2019,1,1,18,0,10.200000000000001,483,978,6.800000000000001,26.88
2019,1,1,19,0,11.200000000000001,576,978,6.5,24.12
2019,1,1,20,0,11.700000000000001,606,977,6.300000000000001,22.91
2019,1,1,21,0,11.8,569,977,6.1000000000000005,22.73
2019,1,1,22,0,11.700000000000001,470,976,5.7,22.92
2019,1,1,23,0,11,318,976,5,24.79
2019,1,2,0,0,8.1,136,977,3.4000000000000004,35.71
2019,1,2,1,0,5.800000000000001,0,977,3.1,43.68
2019,1,2,2,0,5,0,978,2.9000000000000004,46.65
2019,1,2,3,0,4.6000000000000005,0,978,2.8000000000000003,48.480000000000004
2019,1,2,4,0,4.800000000000001,0,978,2.5,48.82
2019,1,2,5,0,4.800000000000001,0,978,2.3000000000000003,49.25
2019,1,2,6,0,4.9,0,978,2.1,49.09
2019,1,2,7,0,5,0,978,2.1,48.620000000000005
2019,1,2,8,0,5,0,977,2.1,47.6
2019,1,2,9,0,4.9,0,977,2,46.07
2019,1,2,10,0,4.800000000000001,0,977,1.9000000000000001,44.59
2019,1,2,11,0,4.5,0,977,2.1,45.2
2019,1,2,12,0,4.4,0,977,2.3000000000000003,45.81
2019,1,2,13,0,4.3,0,978,2.3000000000000003,45.84
2019,1,2,14,0,4.5,0,979,2,43.83
2019,1,2,15,0,5.5,0,980,1.7000000000000002,43.22
2019,1,2,16,0,8.6,150,981,2.4000000000000004,35.410000000000004
2019,1,2,17,0,10.9,326,981,3.4000000000000004,25.02
2019,1,2,18,0,12.600000000000001,469,980,3.6,22.26
2019,1,2,19,0,13.9,560,979,3.2,21.03
2019,1,2,20,0,14.9,590,978,2.3000000000000003,20.26
2019,1,2,21,0,15.3,556,978,1.5,21.27
2019,1,2,22,0,15,458,978,0.8,23.77
2019,1,2,23,0,14,309,978,0.9,29.47
2019,1,3,0,0,11.200000000000001,130,979,1.1,41.27
2019,1,3,1,0,9.5,0,979,1,45.03
2019,1,3,2,0,8.5,0,980,0.9,50.47
2019,1,3,3,0,7.9,0,980,0.9,53
2019,1,3,4,0,7.4,0,980,1,54.160000000000004
2019,1,3,5,0,6.800000000000001,0,980,1.2000000000000002,55.22
2019,1,3,6,0,6.1000000000000005,0,980,1.4000000000000001,56.63
2019,1,3,7,0,5.5,0,979,1.7000000000000002,57.99
2019,1,3,8,0,5.1000000000000005,0,979,2,58.33
2019,1,3,9,0,4.800000000000001,0,979,2.3000000000000003,57.620000000000005
2019,1,3,10,0,4.6000000000000005,0,979,2.4000000000000004,57.42
2019,1,3,11,0,4.4,0,978,2.5,58.15
2019,1,3,12,0,4.3,0,978,2.7,58.57
2019,1,3,13,0,4.3,0,979,2.8000000000000003,58.24
2019,1,3,14,0,4.3,0,979,2.9000000000000004,57.53
2019,1,3,15,0,5.5,0,980,3.2,53.54
2019,1,3,16,0,8.9,152,980,4.1000000000000005,41.77
2019,1,3,17,0,11.700000000000001,331,980,3.6,32.81
2019,1,3,18,0,14.3,477,979,2.7,25.14
2019,1,3,19,0,15.700000000000001,570,978,1.9000000000000001,22.330000000000002
2019,1,3,20,0,16.6,601,976,1.5,22.44
2019,1,3,21,0,17,566,975,1.3,23.990000000000002
2019,1,3,22,0,17,465,975,1.2000000000000002,24.78
2019,1,3,23,0,15.9,316,975,1.1,32.72
2019,1,4,0,0,13,137,975,1,44.480000000000004
2019,1,4,1,0,11.200000000000001,0,976,0.9,46.45
2019,1,4,2,0,9.9,0,976,0.9,53.26
2019,1,4,3,0,8.9,0,977,1,57.88
2019,1,4,4,0,8.200000000000001,0,977,1,59.71
2019,1,4,5,0,7.6000000000000005,0,976,1.1,60.09
2019,1,4,6,0,7.1000000000000005,0,976,1.1,59.980000000000004
2019,1,4,7,0,6.800000000000001,0,975,1.2000000000000002,59.42
2019,1,4,8,0,6.4,0,975,1.3,59.47
2019,1,4,9,0,6,0,975,1.4000000000000001,59.54
2019,1,4,10,0,5.800000000000001,0,974,1.5,58.83
2019,1,4,11,0,5.7,0,974,1.5,58.35
2019,1,4,12,0,5.6000000000000005,0,974,1.6,58.28
2019,1,4,13,0,5.5,0,974,1.8,58.43
2019,1,4,14,0,5.5,0,974,1.9000000000000001,58.13
2019,1,4,15,0,6.6000000000000005,0,974,1.7000000000000002,56.74
2019,1,4,16,0,10.3,142,975,2,48.34
2019,1,4,17,0,12.9,318,975,2.2,41.63
2019,1,4,18,0,15.100000000000001,470,974,2.1,38.83
2019,1,4,19,0,16.7,559,973,2.1,34.96
2019,1,4,20,0,17.7,590,972,2.2,32.980000000000004
2019,1,4,21,0,18,553,971,2.4000000000000004,32.05
2019,1,4,22,0,17.6,458,971,2.5,32.59
2019,1,4,23,0,16.1,311,971,2.2,40
2019,1,5,0,0,12.5,135,971,1.4000000000000001,58.4
2019,1,5,1,0,10.5,0,972,1.2000000000000002,68.32000000000001
2019,1,5,2,0,9.9,0,972,0.7000000000000001,75.43
2019,1,5,3,0,9.8,0,972,0.8,77.29
2019,1,5,4,0,9.8,0,972,0.9,75.93
2019,1,5,5,0,9.600000000000001,0,972,1.3,75.08
2019,1,5,6,0,9.3,0,971,1.5,74.60000000000001
2019,1,5,7,0,9,0,971,1.5,74.98
2019,1,5,8,0,9,0,971,1.6,76.03
2019,1,5,9,0,8.9,0,970,1.6,78.44
2019,1,5,10,0,8.9,0,970,1.5,80.06
2019,1,5,11,0,8.9,0,970,1.4000000000000001,81.45
2019,1,5,12,0,8.9,0,970,1.4000000000000001,82.77
2019,1,5,13,0,8.9,0,970,1.5,84.41
2019,1,5,14,0,9,0,970,1.5,85.77
2019,1,5,15,0,9.200000000000001,0,971,1.6,87.53
